Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Chiefdom,Arif Nezih Savi,Keepers of Fun,Paid,$4,1-6,up to 30 minutes,8+,Farming,Flip & Write / Roll & Write,Worker Placement,LIGHT-MEDIUM,,,Quick Print (no crafting required),Manage your tribe as you build your Chiefdom from the ground up!,"In Chiefdom, you are tasked with building up your own Chiefdom from scratch. The game begins with an empty plan, and it's up to you to carefully choose what icons to draw and how to draw them based on the dice rolled on each turn. You choose your actions simultaneously with the other players, using the values rolled to determine what icons you will draw and how to place them.",https://www.patreon.com/keepersoffun/shop/chiefdom-worker-placement-roll-write-14701?source=storefront,,A single sheet,18 advanced scoring cards,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/9dWWP3T38I7LKbOy2m5S.png,,help@pnpfinder.com
Hungry Pyramids,Norbert Abel,Cheeky Parrot Games,Free,,2+,up to 20 minutes,8+,Animals / Nature,Tile Placement,"Hand Management, Push Your Luck, Take That",LIGHT,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Build a pyramid with the other players but place your animals first.,"Hungry Pyramids is a retheme of Flaming Pyramids (2018). There are 40 regular tiles with a unique combination of colour, number, and material. Players have a hand of 5 tiles to choose from, but they are constrained by the building regulations and the luck of the draw. There are also 4 food tiles that can cause the pyramid to collapse: these can be hard to place without causing extensive damage.",https://boardgamegeek.com/filepage/240329/hungry-pyramids-free-pnp-black-and-white-version,,"8 pages (40 Tiles), rules",-,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/QjIQhpcgvZ78Ns6v38BD.png,FREE PNP RETHEMES,help@pnpfinder.com
300 Spartans: The 9 Card Thermopylae Game,Chris Hansen,Web-published,Free,,1,up to 30 minutes,12+,Historical / War,Dice Placement,hand management,LIGHT,,,Simple Cuts (a few cards or tiles),Solitaire 9-card dice-as-soldiers game of Thermopylae,300 Spartans: The 9 Card Thermopylae Game is a solitaire micro wargame. You control the Persian forces and must fight the small band of Spartans warriors who are blocking your path at the Thermopylae pass in 480 BC. Units are represented by dice which are rotated to show their current strength. Cards determine both your tactical abilities in any turn and the Spartans' response.,https://boardgamegeek.com/boardgame/246976/300-spartans-the-9-card-thermopylae-game/files,,,,English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/jARWvet8miCP5flPbcnM.webp,,help@pnpfinder.com
Under Falling Skies: 9 Card Space Invaders,Tomáš Uhlíř,Czech Games Edition,Free,,1,up to 45 minutes,10+,Science Fiction,Dice Rolling,Rerolling & Locking,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),modular solo Space Invaders game with resource management & dice placement,"The aliens are descending in flying saucers just like the classic arcade game Space Invaders. You have to build an underground base, manage power, manage dice to steer the descending aliens and hopefully destroy them.",https://boardgamegeek.com/filepage/177851/cards-9-card-pnp-edition-2019,,,,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/wHdOVNgfKs1hZLwIIi2P.webp,2025 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Fortitude,J.L. Reid,Bent Pin Games,Paid,$5,1,up to 45 minutes,12+,Spies / Espionage,Trick Taking,Write,MEDIUM,,,Simple Cuts (a few cards or tiles),Trick taking game of WWII's Operation Fortitude,"Solitaire trick taking game simulating Operation Fortitude, the extensive deception operation Britain carried on to fool the Germans as to the target location and date of D-Day. Keep the Germans guessing about the location of the invasion through 16 hands, using interrelated management of resources.",https://www.thebentpin.com/products/prodPage.html?build=fortitude,,,,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/zRaYnCPMoa76VZ30rUo7.webp,,help@pnpfinder.com
Waypoints,"Matthew Dunstan, Rory Muldoon",Postmark Games,Paid,£5,1-100,up to 45 minutes,8+,Travel / Exploration,Flip & Write / Roll & Write,Route Making,MEDIUM,,,Quick Print (no crafting required),Hike your own trail in this single sheet game of exploration,"Battle the elements in Waypoints as you hike through a landscape of mountains, valleys, lakes, and woodlands. Climb vast summits or take to the rivers, marking your route and recording your experiences as you go.",https://www.postmarkgames.com/waypoints,,One A4 or Letter sheet per player,One die. One pen or pencil per player,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/qUMybm1Cp9KLv9KXDpdD.png,2023 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Aquamarine,"Matthew Dunstan, Rory Muldoon",Postmark Games,Paid,£5,1-100,up to 30 minutes,8+,Travel / Exploration,Flip & Write / Roll & Write,Polyominoes,LIGHT-MEDIUM,,,Quick Print (no crafting required),Explore the ocean depths on a single sheet of paper.,"Manage your oxygen reserves as you plunge beneath the ocean surface. Will you seek out fish and coral in the narrow sea caves? Or race to be first to reach the ocean floor? Dive deep down into the ocean to discover a vibrant underwater world in Aquamarine, a single-sheet, print-at-home game.",https://www.postmarkgames.com/aquamarine,,One A4 or Letter sheet per player,Two Dice. One pen or pencil per player,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/g0kGmMdBZTG91z62xVa3.webp,2022 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Scribbly Gum Print at Home Edition,Phil Walker-Harding,"Joey Games, Postmark Games",Paid,£5,1-100,up to 20 minutes,6+,Animals / Nature,Flip & Write / Roll & Write,Set Collection,LIGHT,,,Quick Print (no crafting required),Feed your baby moth by leading it to food in a scribbly gum tree.,"Did you know Australia's scribbly gum trees get their beautiful scribbles from baby moths burrowing through the bark? In Scribbly Gum: Print at Home Edition, each player has their own tree diagram and every turn gets to draw a line that leads to food for your baby moth to eat. Collect sets of food to score points. Whoever scribbles their way to the most valuable food wins!",https://www.postmarkgames.com/scribbly-gum,,One A4 or Letter sheet per player,Two dice. One pen or pencil per player,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/X8c12QPNkxPUxojygiff.jpg,,help@pnpfinder.com
Koala Rescue Club,Phil Walker-Harding,"Joey Games, Postmark Games",Paid,£5,1-100,up to 30 minutes,6+,Animals / Nature,Flip & Write / Roll & Write,Polyominoes,LIGHT,,,Quick Print (no crafting required),Plant trees and rehome koalas in this puzzley print-at-home roll-and-write,"Welcome to Koala Rescue Club! Koalas are an endangered species so it’s our job to protect them. In this roll and write game, you will plant new trees for koalas to live in and then rehome them safely. Each turn, a die roll determines which configuration of trees or koalas you can draw. Fill in areas to score points, and complete rows and columns to claim special bonus actions.",https://www.postmarkgames.com/koala-rescue-club,,One A4 or Letter sheet per player,One die. One pen or pencil per player,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/w0ulefb7jCt9Qe0t8YDP.jpg,2024 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Battle Card Series 1,"David Thompson, Nils Johansson",Postmark Games,Paid,£5,1,up to 10 minutes,16+,War / Wargame,Point-to-Point Movement,Dice Rolling,LIGHT,,,Quick Print (no crafting required),Decide the fate of WW2's most instrumental battles in less than 10 minutes!,Battle Card: Series 1 is a collection of print at home micro solitaire games that depict iconic battles and campaigns of the Second World War with only a single sheet of paper and a handful of dice. Each scenario is played on a single sheet map with scenario-specific rules that allow players to face some of the unique challenges and struggles of that particular battle.,https://www.postmarkgames.com/battle-card,,One A4/Letter printed map sheet per game (5 games included),Dice,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/pmdBFq9GdOlLrUk1pFJr.webp,2023 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Island Alone,Radosław Ignatów,Radosław Ignatów,Paid,6€ Core / 10€ Complete set,1-4,up to 45 minutes,8+,Survival,Flip & Write / Roll & Write,Scenario game,LIGHT,,,Quick Print (no crafting required),Survive on a tropical island!,"A roll&write game about survival on a deserted tropical island. In each turn, the active player rolls 4 D6 dice and performs actions using the dice pool. The goal of the game is to perform the scenario. For example: escape from the island, survive a certain number of days, find all the treasures. The game continues until the scenario is completed or all players die.",https://hammerdice.com/,,Game sheets,4 D6 Dice,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Vqt05XAoH3oSLoBxH9VM.png,,help@pnpfinder.com
Trimod,Rômulo Machado,Reaver Workshop,Name your price,,1,up to 10 minutes,12+,Fantasy,Dice Rolling,Storytelling,LIGHT,,,Simple Cuts (a few cards or tiles),Solo fantasy game using only 3 cards and 1 die.,"A minimalist solo fantasy game where you play using only three cards and one die. Each quest have a map card, a quest card and an event card, composing a complete adventure. You'll choose different paths and enter locations, where you'll roll the die to face challenges, also you have a single atribute value, your modifier, which will alter throughout the adventure and affect your results.",https://reaver-workshop.itch.io/trimod,,"3 pages (9 cards, Rulebook and Box)",1 die and optionally 5 markers (included in pages),English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/xFvfrn1ZViC0qd9Yh0bX.jpg,,help@pnpfinder.com
Detective: A Modern Crime Board Game - Suburbia Case,"Jakub Łapot, Przemysław Rymer, Merry Trzewiczek, Ignacy Trzewiczek",Portal Games,Free,,1-5,up to 120 minutes,16+,Crime / Mystery / Detective,Deduction,,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Collaborate to solve cases using high-tech & traditional techniques,"Suburbia is a standalone case for Detective: A Modern Crime Board Game. Take the job of a real detective in a modern setting! In Detective: A Modern Crime Board Game, 1-5 players take on the role of investigators, solving mysterious crimes while working as an Antares National Investigation Agency team members.",https://portalgames.pl/en/detective-suburbia/,,"Cards, board, tokens",Internet connection,English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/mavzd4w85yiNyw0yMLrl.webp,,help@pnpfinder.com
Micromend,Rômulo Machado,Reaver Workshop,Name your price,,1,up to 20 minutes,12+,Science Fiction,Flip & Write / Roll & Write,One Card Game,LIGHT,,,Quick Print (no crafting required),A one card device repair game.,"Something happened with the Core Micro Device! Your most essential equipment is about to stop working, but everything depends on its proper functioning. You cannot let this happen and must interfere urgently to repair it!",https://reaver-workshop.itch.io/micromend,,1 page,"3 dice, Pencil and Eraser (or erasable pen)",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/p5YshGsGjfAmBDNW1eb0.png,,help@pnpfinder.com
Letter Snake,Thien Tran,TMLE Games,Free,,1-100,up to 20 minutes,12+,Puzzle,Flip & Write / Roll & Write,Spelling,LIGHT-MEDIUM,,,Quick Print (no crafting required),A roll-and-write word game about spelling and completing objectives,Letter Snake is a roll-and-write word game. Roll the dice and slither around the grid by inking in words. Complete the objectives listed on the game sheet to win.,https://tmlegames.com/letter-snake,,Game sheet,Pen and Dice,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/nUrvqWrEJRGKc6TKZvSz.png,,help@pnpfinder.com
Survival Park,Mateo Giaccone,Web,Free,,1,up to 20 minutes,12+,Animals / Nature,Multi-use Cards,,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),Escape from an island with fierce dinosaurs.,"Survival Park is a card game of the survival-horror genre in which you have to escape from an island with free-roaming dinosaurs, while fulfilling some objectives along the way to finally be rescued.",https://boardgamegeek.com/boardgame/379216/survival-park/files,,Cards,3 d6 dice. 3 cubes.,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/QmyKOa6zFdDUlLrQrW0A.webp,,help@pnpfinder.com
Doom Pilgrim,Waclaw Traier,War Claw Games,Paid,$9,1-4,up to 45 minutes,18+,Fantasy,Roguelike Elements,Memory game,MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Card-based roguelike open-world grimdark adventure in a medieval setting,"You represent a doubtful hero struggling through his miserable fate in a grim medieval open world full of mortal dangers and cruelty. Each turn, you take 3 cards from the top of the deck. From the three cards, just based on the images, you choose one path to reject, one path to postpone, and one path to go. The path you have taken is then revealed - turn the card, read the story, make decisions.",https://war-claw-games.itch.io/doom-pilgrim,,90 cards,,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/l907IrbX226qXttxoqJM.jpg,,help@pnpfinder.com
